"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_logger_module_exists",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","3","tests.unit.engine","test_customer_id","TestCustomerID","","","test_customer_id_exists",""
"passed","Tue Jun 02 04:04:41 UTC 2026","Tue Jun 02 04:04:41 UTC 2026","4","tests.integration.engine","test_logs_runtime","TestLogsRuntime","","","test_logs_written",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_exists",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Tue Jun 02 04:04:43 UTC 2026","Tue Jun 02 04:04:44 UTC 2026","817","tests.e2e","test_ttyd_browser_flow","TestTTYDBrowserFlow","","","test_terminal_load",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_logs_directory_exists",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","3","tests.unit.engine","test_config","TestEngineConfig","","","test_workflows_path",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_symlink_modules","TestModuleSymlink","","","test_modules_symlink",""
"passed","Tue Jun 02 04:04:41 UTC 2026","Tue Jun 02 04:04:42 UTC 2026","540","tests.integration.cli","test_cli_engine_connection","TestCLIEngineConnection","","","test_cli_runs_workflow",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Tue Jun 02 04:03:15 UTC 2026","Tue Jun 02 04:03:15 UTC 2026","491","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_version",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_workflows_path",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
"passed","Tue Jun 02 04:04:42 UTC 2026","Tue Jun 02 04:04:43 UTC 2026","531","tests.integration.cli","test_sawectl_validate_workflow","TestSawectlWorkflowValidation","","","test_validate_logger_workflow",""
"passed","Tue Jun 02 04:04:41 UTC 2026","Tue Jun 02 04:04:41 UTC 2026","3","tests.integration.engine","test_engine_health","TestEngineHealth","","","test_health",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_asset_script_exists",""
"passed","Tue Jun 02 04:03:09 UTC 2026","Tue Jun 02 04:03:09 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_logs_path",""
